Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,14056.0,1616.0,13.46,2589.0,0.0,0.0,587.0,4.89,0
2009,11048.0,-1406.0,13.5,-1035.0,2146.0,0.0,-314.0,3.02,-187
2010,17374.0,-482.0,13.75,461.0,3155.0,6.84,-886.0,25.31,65
2011,19884.0,-53.0,1.51,892.0,3820.0,4.28,-639.0,18.26,89
2012,19328.0,-125.0,0.9,874.0,3368.0,3.85,567.0,-4.11,-135
2013,17424.0,-1645.0,2.96,-1285.0,3335.0,0.0,-60.0,0.11,-1216
2014,17507.0,102.0,3.19,1019.0,2144.0,2.1,1102.0,34.44,106
2015,11574.0,-1642.0,3.12,-665.0,2383.0,0.0,-136.0,0.26,-1709
2016,1216.0,-440.0,3.19,338.0,1516.0,4.49,460.0,-3.33,73
2017,1204.0,387.0,3.58,1065.0,1150.0,1.08,326.0,3.02,187
2018,1420.0,1115.0,6.25,1576.0,1381.0,0.88,-53.0,-0.3,188
2019,12937.0,-630.0,-3.69,289.0,2892.0,10.01,-566.0,-3.31,-156
2020,12186.0,-1075.0,-6.3,-149.0,3365.0,0.0,-716.0,-4.21,-70
