Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,38.0,4.0,0.17,6.0,0.0,0.0,-2.0,-0.08,0
2011,176.0,16.0,0.55,33.0,41.0,1.24,2.0,0.07,299
2012,262.0,14.0,0.47,44.0,26.0,0.59,13.0,0.43,-12
2013,217.0,4.0,0.13,23.0,2.0,0.09,31.0,1.03,-71
2014,261.0,10.0,0.33,29.0,-9.0,-0.0,21.0,0.7,149
2015,267.0,13.0,0.47,37.0,-13.0,-0.0,20.0,0.71,29
2016,399.0,-15.0,-0.54,-1.0,39.0,0.0,-49.0,-1.75,-215
2017,517.0,14.0,0.52,66.0,13.0,0.2,29.0,1.07,193
2018,537.0,38.0,1.35,68.0,48.0,0.71,-14.0,-0.5,171
2019,519.0,13.0,0.44,35.0,90.0,2.57,-42.0,-1.45,-65
