Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,387.0,20.0,0.33,38.0,0.0,0.0,56.0,0.95,0
2010,892.0,100.0,1.74,176.0,-171.0,-0.0,113.0,1.98,399
2011,982.0,173.0,3.18,199.0,-218.0,-0.0,52.0,0.96,72
2012,995.0,121.0,2.34,180.0,-388.0,-0.0,162.0,3.18,-30
2013,1036.0,132.0,2.57,194.0,-412.0,-0.0,175.0,3.43,9
2014,1670.0,30.0,0.58,160.0,2742.0,17.14,209.0,4.1,-77
2015,3650.0,-158.0,-3.16,349.0,2820.0,8.08,0.0,0.0,-626
2016,3574.0,-137.0,-2.67,391.0,2492.0,6.37,303.0,5.94,13
2017,3722.0,17.0,0.32,681.0,2165.0,3.18,428.0,8.08,112
2018,4218.0,421.0,7.92,806.0,1547.0,1.92,721.0,13.6,2375
2019,8970.0,544.0,10.23,868.0,1247.0,1.44,624.0,11.77,29
2020,8956.0,518.0,9.74,848.0,1373.0,1.62,692.0,13.06,-4
