Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,16.0,2.0,0.04,1.0,0.0,0.0,1.0,0.02,0
2011,36.0,20.0,0.3,10.0,-20.0,-0.0,7.0,0.1,895
2012,42.0,8.0,0.13,8.0,-22.0,-0.0,7.0,0.11,-60
2013,46.0,9.0,0.15,9.0,-27.0,-0.0,8.0,0.13,12
2014,48.0,4.0,0.08,7.0,-21.0,-0.0,7.0,0.12,-55
2015,54.0,4.0,0.08,8.0,-28.0,-0.0,10.0,0.18,0
2016,58.0,4.0,0.08,11.0,-26.0,-0.0,10.0,0.19,0
2017,63.0,-9.0,-0.17,11.0,-33.0,-0.0,13.0,0.25,-324
2018,68.0,13.0,0.21,13.0,-27.0,-0.0,11.0,0.21,244
2019,171.0,-13.0,-0.22,15.0,166.0,11.07,3.0,0.06,-199
