Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,232.0,11.0,0.37,23.0,0.0,0.0,7.0,0.23,0
2011,553.0,35.0,1.12,78.0,-171.0,-0.0,41.0,1.32,217
2012,668.0,40.0,1.29,90.0,-102.0,-0.0,24.0,0.77,14
2013,722.0,43.0,1.44,96.0,-116.0,-0.0,31.0,1.03,7
2014,809.0,41.0,1.42,98.0,-153.0,-0.0,54.0,1.86,-4
2015,802.0,27.0,0.99,74.0,-75.0,-0.0,14.0,0.52,-34
2016,834.0,25.0,1.05,65.0,-78.0,-0.0,29.0,1.21,-7
2017,926.0,25.0,1.04,73.0,-120.0,-0.0,42.0,1.75,0
2018,976.0,44.0,1.76,85.0,-164.0,-0.0,46.0,1.84,75
2019,1032.0,66.0,2.64,111.0,-250.0,-0.0,89.0,3.56,49
